"","mun_code","municipio","incidence 2007","incidence 2008","incidence 2009","incidence 2010","incidence 2011","incidence 2012","incidence 2013","incidence 2014","incidence 2015","incidence 2016","incidence 2017","incidence 2018","incidence 2019","incidence 2020","incidence 2021","incidence 2022","incidence 2023","incidence 2024"
"55","120010","120010 BRASILEIA",0,0,0,9.34666791288906,4.57938361496543,4.49216117874309,13.1010087776759,21.3876293951578,29.3513354857646,0,12.1138703815869,0,11.4163939417003,0,3.68690779043616,0,7.69230769230769,7.18365001257139
"56","120013","120013 BUJARI",0,0,14.7623265426631,11.8049817022784,11.5888283694518,56.9346390343885,122.181495057203,196.228060612668,74.9544919156227,21.04598547827,72.4337748344371,29.6706557214914,29.2226767971946,0,9.45894816496406,0,0,0
"57","120017","120017 CAPIXABA",0,0,32.2962643987512,11.3662195953626,88.0281690140845,0,193.16795445303,78.6627335299902,38.1024957134692,27.7264325323475,17.9597701149425,43.645251396648,0,0,0,10.2701037280477,0,0
"58","120020","120020 CRUZEIRO DO SUL",1.12239744093383,1.30903759555974,1.2987012987013,0,3.78912269179276,5.01133815257019,14.9296440524031,266.821489012143,107.950293796538,45.0807188547061,83.5128658226622,23.9526422045556,69.0232642346338,68.4839231183762,61.2745098039216,34.9780062536435,39.1781298972662,48.7894126974447
"59","120025","120025 EPITACIOLANDIA",0,0,0,0,0,19.1338733337585,12.4231318715448,12.1824937564719,0,0,0,0,5.43153549508446,0,0,10.6969032465101,0,0
"60","120030","120030 FEIJO",0,0,0,6.1705541157596,36.9378520639025,12.2850122850123,70.9635617537256,49.3857645533675,27.7906438165817,15.4454466823181,21.6316440049444,8.65176640230714,5.75043128234618,11.4665749340672,8.5748585148345,5.70857713714857,22.5822841980466,13.2823291892466
"61","120032","120032 JORDAO",0,0,0,0,0,0,41.97565412061,27.2851296043656,0,0,0,0,12.0235661897319,11.8021952083087,0,0,0,0
"62","120033","120033 MANCIO LIMA",0,0,0,0,0,0,0,11.9083060434653,0,5.69962952408093,16.750418760469,5.36538255177594,31.6172208462876,51.7839573300192,35.6361044646948,20.8637596494888,31.0977505960402,19.6763244625904
"63","120034","120034 MANOEL URBANO",12.4192747143567,0,0,0,0,0,11.9246362985929,35.2360817477097,0,0,0,0,0,0,10.3082156478714,0,0,0
"64","120035","120035 MARECHAL THAUMATURGO",0,0,0,0,0,0,0,6.1050061050061,0,0,5.58752863608426,0,15.9007791381778,5.18161562775273,30.4151670299589,23.7741456166419,93.6055695313871,11.1414405882681
